LOCATION,DATE,AWND,PRCP,TMAX,TMIN,TOBS,ADVERSE_CONDITIONS
"(40.50542, -74.42978)",2020-06-09,3.4142857142857146,0.0,28.821428571428573,15.242857142857144,17.500000000000004,0
"(40.50542, -74.42978)",2020-06-10,4.228571428571429,0.0,29.835714285714285,18.214285714285715,20.55,0
"(40.50542, -74.42978)",2020-06-11,4.714285714285714,0.0,28.535714285714285,19.99285714285714,21.766666666666666,0
"(40.50542, -74.42978)",2020-06-12,3.3428571428571425,3.3,28.614285714285717,19.24285714285714,19.7,0
"(40.50542, -74.42978)",2020-06-13,4.4,0.0,26.428571428571423,14.450000000000001,15.319999999999999,0
"(40.50542, -74.42978)",2020-06-15,2.885714285714286,0.0,23.614285714285717,12.657142857142857,14.549999999999999,0
"(40.50542, -74.42978)",2020-06-16,3.2714285714285714,0.0,24.457142857142863,13.37857142857143,15.75,0
"(40.50542, -74.42978)",2020-06-17,3.471428571428572,0.0,25.614285714285717,14.164285714285715,15.466666666666667,0
"(40.50542, -74.42978)",2020-06-18,2.8428571428571425,0.0,25.3,16.821428571428573,18.433333333333334,0
"(40.50542, -74.42978)",2020-06-19,2.5125,1.5,27.11428571428572,17.72857142857143,19.166666666666668,0
"(40.50542, -74.42978)",2020-06-20,2.2,0.0,28.97142857142857,18.564285714285713,20.166666666666668,0
"(40.50542, -74.42978)",2020-06-21,2.4,1.0,29.728571428571428,19.085714285714285,20.833333333333332,0
"(40.50542, -74.42978)",2020-06-22,3.0375,1.5,31.478571428571424,20.52142857142857,22.033333333333335,0
"(40.50542, -74.42978)",2020-06-23,3.4499999999999997,0.0,31.242857142857144,21.071428571428573,22.599999999999998,0
"(40.50542, -74.42978)",2020-06-24,3.9250000000000003,0.0,30.71428571428572,22.37857142857143,24.066666666666666,0
"(40.50542, -74.42978)",2020-06-25,2.65,0.0,30.685714285714287,19.835714285714285,21.033333333333335,0
"(40.50542, -74.42978)",2020-06-26,3.0375000000000005,0.0,30.650000000000002,18.77142857142857,20.183333333333334,0
"(40.50542, -74.42978)",2020-06-27,2.3375,0.0,29.221428571428568,18.89285714285714,20.660000000000004,0
"(40.50542, -74.42978)",2020-06-28,2.075,2.0,30.207142857142856,20.314285714285713,21.759999999999998,0
