LOCATION,STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,ADVERSE_CONDITIONS
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-09-27,3.8,,,,2.3,",,7,0700",,,27.2,",,7",14.4,",,7",14.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-09-28,3.2375000000000003,,,,29.5,",,7,0700",,,21.1,",,7",13.9,",,7",14.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-09-29,2.3375,,,,4.1,",,7,0700",,,17.2,",,7",10.0,",,7",10.0,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2018-09-30,2.15,,,,0.0,",,7,0700",,,22.2,",,7",8.9,",,7",8.9,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-01,3.5428571428571423,,,,0.0,",,7,0700",,,20.0,",,7",8.9,",,7",9.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-02,3.1000000000000005,,,,0.0,",,7,0700",,,21.1,",,7",8.9,",,7",10.0,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-03,3.514285714285714,,,,18.5,",,7,0700",,,22.8,",,7",10.0,",,7",15.6,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-04,2.814285714285714,,,,5.1,",,7,0700",,,26.1,",,7",15.6,",,7",16.7,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-05,2.814285714285714,,,,9.1,",,7,0700",,,28.9,",,7",16.7,",,7",19.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-06,3.6571428571428575,,,,0.8,",,7,0700",,,25.0,",,7",19.4,",,7",23.3,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-07,4.871428571428572,,,,0.0,"T,,7,0700",,,30.6,",,7",16.1,",,7",17.8,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-08,3.242857142857143,,,,0.0,",,7,0700",,,24.4,",,7",11.7,",,7",14.4,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-09,3.4142857142857146,,,,0.0,",,7,0700",,,26.1,",,7",13.9,",,7",15.6,",,7,0700",0
"(40.89174, -74.39635)",USC00280907,"BOONTON 1 SE, NJ US",2020-06-10,4.228571428571429,,,,0.0,",,7,0700",,,31.1,",,7",15.6,",,7",20.0,",,7,0700",0
